,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
64,XMR097LP,"NICOLAY,FRANZ","TO US, THE BEAUTIFUL!",639852105719,1,LP,XTRA MILE,1156,0,1,1,19.01.2015
66,285861,Night Demon,Live Darkness,886922858611,1,LP+CD,Steamhammer - Hannover,2449,0,1,3,10.08.2018
68,MOVLP1982,SHOCKING BLUE,HAM -HQ/GATEFOLD/REMAST-,8719262004825,1,LP,MUSIC ON VINYL,1406,0,1,1,16.11.2017
70,3364636,VARIOUS ARTISTS,RADIOHEAD IN JAZZ,3596973646361,1,LP,ROM,1239,0,1,2, 
71,CREP64,"KERBAJ,MAZEN","TRUMPET SOLO VOL. 2.2  CUTS, O",5055869544757,1,LP,DISCREPANT RECORDS,1132,0,1,2,20.09.2019
72,7729738,BLOSSOMS,COOL LIKE YOU             RSD 2019,602577297380,2,LP,EMI,1735,0,1,1,10.04.2019
74,LORD255LP,"PRIMALS,THE",ALL LOVE IS TRUE LOVE,808720025514,1,LP,SOUTHERN LORD,1134,0,1,1,21.09.2018
77,ALNLP48,GARDEN CITY MOVEMENT,APOLLONI,5060391091167,1,LP,LATE NIGHT TALES,1469,0,1,1,07.03.2018
79,305361,Amon Düül II,Live in London,693723053615,1,LP,BMG - Berlin,2136,0,1,2,26.10.2018
81,DAD3X6,THIS MORTAL COIL,BLOOD,652637300611,1,LP,BBQ-4AD,2519,0,1,1,06.12.2018
82,0293,Eric Clapton & Jimmy Page,Guitar Legends,4260053472933,1,LP,Power Station,1031,0,1,5, 
85,TAMB138LP,Palace Winter,Waiting For The World To Turn (LP+MP3),7332181068931,1,LP,TAMBOURHINOCEROS,1181,0,1,1,19.02.2019
86,BD274,ROOTS MANUVA,SWITCHING_SIDES,5054429004083,1,LP,Ninja Tune,674,0,1,2,16.04.2016
88,KOMPAKT381,"GIBSON,KENNETH JAMES",IN THE FIELDS OF NOTHING,880319900518,1,LP,KOMPAKT,1401,0,1,1,23.03.2018
89,M4003,Electric Hydra,The Last Of Us,200000075729,1,7',MOD,625,0,1,1, 
90,RGNET1298LP,Lemon Jefferson,The Rough Guide To Blind Lemon Jefferson,605633629828,1,LP,ROUGH GUIDE,602,0,1,2, 
94,XMR139LPX,"VARLEY,WILL",SPIRIT OF MINNIE (INDIE EXC RE,5056032313507,1,LP,XTRA MILE RECORDINGS,1125,0,1,1,09.02.2018
97,LITA176LP,"HAZLEWOOD,LEE",400 MILES FROM L.A. 1955-56,826853017619,1,LP,LIGHT IN THE ATTIC,2649,0,1,1,13.09.2019
98,3941581,"CHEMICAL BROTHERS,THE",WE ARE THE NIGHT,94639415816,2,LP,VIRGIN RECORDS,1688,0,1,1,28.04.2017
99,LFRMX014,Michael E_Lituus,LF RMX 014 (Len Faki Mi,4251648412175,1,LP,LF RMX,809,0,1,1,10.05.2019
100,0213164EMU,"Gillan,Ian","Gillan,Ian-Gillan&Javelins",4029759131649,1,LP,EMU,1739,0,1,1,31.08.2018
106,OSTGUTLP27,STEFFI,WORLD OF THE WAKING STATE,880319873331,1,LP,OSTGUT TON,1548,0,1,1,22.09.2017
107,MRBLP153,BURNIER & CARTIER,BURNIER & CARTIER,7119691250212,1,LP,MR BONGO,1351,0,1,5,06.04.2018
108,SOAKLP171,DEAF HAVANA,RITUALS,738572289379,1,LP,SO RECORDINGS,1291,0,1,1,26.07.2018
115,DW119,ROB,CAMPFIRE CREEPERS,5053760038634,1,LP,DEATH WALTZ RECORDIN,1238,0,1,1,07.06.2018
117,SIS 1222-1,"BEACH BOYS, THE",Greatest Surf Hits,90204527502,1,LP,zyx/sis,1100,0,1,2,16.06.2017
121,8BIT8051,TAKESHI FURUKAWA,LAST GUARDIAN (BLACK & WHITE MARBLED VINYL),852428007594,1,LP,iam8bit,2786,0,1,1,17.08.2017
123,PRAH005,"ORAZBAYEVA,AISHA/& TIM ETCHELL",SLEEPING THROUGH,5060091559158,1,LP,PRAH,1504,0,1,1,06.11.2015
124,HDBLP022,FHLOSTON PARADIGM,THE PHOENIX,5055300373656,1,LP,HYPERDUB,949,0,1,1, 
127,DEMREC413,TOYAH,IN THE COURT OF THE CRIMSON QUEEN - TOYAH,5014797899346,1,LP,Demon,2076,0,1,2,13.04.2019
129,270511,Mekong Delta,Mekong Delta,4260072378551,1,LP,Zardoz Media,1486,0,1,2,30.06.2016
130,16838,ALLEGAEON,Apoptosis (Silver w/Oxblood & Black Splatters  ltd,39841561272,1,LP,Metal Blade,1841,0,1,1,19.04.2019
135,MOSHILP89,DU BLONDE,LUNG BREAD FOR DADDY,5060164956464,1,LP,MOSHI,1340,0,1,2,14.02.2019
136,AFR45013,ASSIYO BELLEMA / HASABE,MULATU ATSATKE FT FRANK HOLDER,7119691240879,1,7',MR BONGO,578,0,1,2,20.07.2011
137,M72155,Volbeat,Rock The Rebel/Metal The Devil (Picture),20286211716,1,LP,Mascot,1000,0,1,6,09.11.2012
140,BBQLP2145,BUFFALO TOM,LET ME COME OVER -LTD-,607618214517,1,LP,BBQ-BEGGARS BANQUET,1529,0,1,1,18.05.2017
141,DAP015LP,MENAHAN STREET BAND,MAKE THE ROAD BY WALKING,823134001510,1,LP,DAPTONE RECORDINGS,1386,0,1,2,01.10.2017
142,ALCOPOP125X,"SPILLS,THE",COLLECTING DUST,5060091558373,1,LP, ,1001,0,1,1,25.09.2015
146,film005,marvin horsch,fukushisha ep,4260038317556,1,LP,FILM,561,0,1,1,10.03.2017
149,CRAM286 LP,SCOTT GILMORE,TWO BEDROOM MOTEL,876623007968,1,LP,CRAMMED DISCS,1375,0,1,5,01.03.2019
153,COUNT046,THE HEAVY,THE GLORIOUS DEAD,5021392750163,2,LP,Ninja Tune,1444,0,1,2,19.08.2008
154,MCR927,THIS HEAT,REPEAT/METAL,826853092715,1,LP,MODERN CLASSICS,1702,0,1,2,17.08.2018
