"ID";"ARTIST";"TITLE";"BARCODE";"UNIT";"FORMAT";"LABEL";"PRICE";"PRECISION";"DELIVERY";"STOCK";"DATE"
"SMACDX1142";"THE PRETTY THINGS";"GET THE PICTURE?";"636551271424";"1";"CD";"Snapper";"499";"0";"1";"2";"07.06.2019"
"BLOD101CD";"Månegarm";"Vredens Tid (Re-Mastered)";"6663666001015";"1";"CD";"BLACKLODGE";"688";"0";"1";"1";"21.08.2015"
"VILELP823";"MY DYING BRIDE";"TOWARDS THE SINISTER";"801056882318";"1";"12'";"Snapper";"1224";"0";"1";"1";"02.08.2019"
"0212927EMX";"Toto";"Toto-35th Anniversary Tour-Live(Ltd.)";"4029759129271";"1";"LP+CD";"EMX";"1689";"0";"1";"4";"06.07.2018"
"2MR-038CD";"Mike Simonetti";"Solipsism (Collected Works 2006-2013)";"90125169492";"1";"CD";"2MR";"375";"0";"1";"2";"28.09.2018"
"BR1992402";"Kopf, Herbie";"Lop-sided";"4015307924023";"1";"CD";"Brambus Records";"625";"0";"1";"1";""
"2734647";"ABBA";"RING RING";"0602527346472";"1";"LP";"POLYDOR";"1458";"0";"1";"1";"24.10.2014"
"SUNLP1220";"JOHNNY CASH";"WITH HIS HOT AND BLUE GUITAR";"803415827817";"1";"LP";"Snapper";"1204";"0";"1";"2";"20.07.2018"
"MTM 43";"LE TON MITÉ";"PASSÉ COMPOSÉ FUTUR CONDITIONNEL";"0876623007562";"1";"CD";"MADE TO MEASURE";"625";"0";"1";"1";"10.07.2009"
"AFM 4237";"Korn";"LIVE (AT THE HOLLYWOOD PALLADIUM)";"884860064170";"2";"CD+DVD";"AFM RECORDS";"584";"0";"1";"1";"07.09.2012"
"dh019";"Kincaid feat. Blancmange";"Big Fat Head (w/ Moscoman & Trikk Remix)";"730003655531";"1";"12'";"Disco Halal";"761";"0";"1";"1";"22.03.2019"
"4795807";"BERNSTEIN/WPH";"SYMPHONIE NR.5            Live At Alte Oper/Frankf";"028947958079";"2";"LP";"DG";"1870";"0";"1";"3";"18.03.2016"
"BBE118ACD";"RICHY PITCH";"YE FRE MI RICHY PITCH";"0730003111822";"1";"CD";"BBE";"375";"0";"1";"1";"30.08.2010"
"CD1770";"CHAP";"WELL DONE EUROPE";"0730003418129";"1";"CD";"LO RECORDINGS";"281";"0";"1";"1";""
"SM013-CD";"V.A.";"Guitarra Portuguesa";"5606562620288";"1";"CD";"";"500";"0";"1";"5";""
"OM05";"DIVORCE";"DIVORCE";"5055300303097";"1";"10'";"OPTIMO MUSIC";"669";"0";"1";"1";"31.08.2018"
"ERE496";"AZALEA,IGGY";"IN MY DEFENSE";"888915877371";"1";"CD";"BAD VIBES FOREVER/EM";"614";"0";"1";"1";"30.08.2019"
"SJRLP405";"VA";"Brasil : New 2018 Edition (Recorded in Rio De Jane";"5026328004051";"1";"LP";"Soul Jazz";"1588";"0";"1";"2";"01.01.2018"
"HDBCD021";"LAUREL HALO";"CHANCE OF RAIN";"5055300373588";"1";"CD";"HYPERDUB";"702";"0";"1";"1";""
"19075830571";"Franklin, Aretha";"Sunday Morning Classics";"0190758305714";"1";"LP";"Columbia/Legacy";"1579";"0";"1";"1";"27.04.2018"
"CRAM 156 LP";"LONELY DRIFTER KAREN";"FALL OF SPRING";"876623006114";"1";"LP";"CRAMMED DISCS";"1125";"0";"1";"1";""
"PFRWAX009";"Pavel Ludin";"Framework EP";"4250382437550";"1";"LP";"Poker Flat R";"910";"0";"1";"1";"26.04.2019"
"XMR097LP";"NICOLAY,FRANZ";"TO US, THE BEAUTIFUL!";"639852105719";"1";"LP";"XTRA MILE";"1156";"0";"1";"1";"19.01.2015"
"BLOD124CD";"Devils Gun";"Sing For The Chaos";"6663666001244";"1";"CD";"BLACKLODGE";"688";"0";"1";"1";"12.04.2019"
"285861";"Night Demon";"Live Darkness";"886922858611";"1";"LP+CD";"Steamhammer - Hannover";"2449";"0";"1";"3";"10.08.2018"
"FARO144CD";"Brazilian Groove Band";"Anatomy Of Groove";"5060211500053";"1";"CD";"Far Out";"701";"0";"1";"1";""
"MOVLP1982";"SHOCKING BLUE";"HAM -HQ/GATEFOLD/REMAST-";"8719262004825";"1";"LP";"MUSIC ON VINYL";"1406";"0";"1";"1";"16.11.2017"
"SOAK171";"DEAF HAVANA";"RITUALS";"0738572289324";"1";"CD";"SO RECORDINGS";"712";"0";"1";"1";"26.07.2018"
"3364636";"VARIOUS ARTISTS";"RADIOHEAD IN JAZZ";"3596973646361";"1";"LP";"ROM";"1239";"0";"1";"2";""
